"NOME_STRUT","DS_ATS","DS_ASST","COMUNE","PROV","LAT","LONG_","ID_struttura","original","ID_erogatore","check","n","ID_group"
"PO DI CERNUSCO SUL NAVIGLIO - VAPRIO D'ADDA (STAB DI VAPRIO D'ADDA)-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (OSPEDALE CROTTA OLTROCCHI VAPRIO D'ADDA)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST MELEGNANO E DELLA MARTESANA","VAPRIO D'ADDA","MI",45.57358,9.52821,2755,"OSPEDALE CROTTA OLTROCCHI VAPRIO D'ADDA",38,TRUE,1,1
"PRESIDIO SANT'ANNA-POLIAMBULATORIO-2-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO VIA NAPOLEONA COMO)","ATS DELL'INSUBRIA","ASST LARIANA","COMO","CO",45.79022,9.09,3054,"POLIAMBULATORIO VIA NAPOLEONA COMO",39,TRUE,1,1
"PRESIDIO UNICO MAGENTA - ABBIATEGRASSO (STAB DI MAGENTA)-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (OSPED. G.FORNAROLI-MAGENTA)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST OVEST MILANESE","MAGENTA","MI",45.4701508,8.8920059,3639,"OSPED. G.FORNAROLI-MAGENTA",40,TRUE,1,1
"POLIAMB. - OSP. MANTOVA","ATS DELLA VAL PADANA","ASST DI MANTOVA","MANTOVA","MN",45.14478439,10.77436693,179,"POLIAMB. - OSP. MANTOVA",41,TRUE,1,1
"OSPEDALE ""ROSSI"" - CASALPUSTERLENGO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (OSP. CASALPUST. AMB. DIAGN.)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST DI LODI","CASALPUSTERLENGO","LO",45.16924402,9.6502918,2839,"OSP. CASALPUST. AMB. DIAGN.",42,TRUE,1,1
"OSPEDALE CIVILE LA MEMORIA DI GAVARDO (UNICO PO CON STAB SALÒ)-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORI GAVARDO)","ATS DI BRESCIA","ASST DEL GARDA","GAVARDO","BS",45.5886006,10.4390323,2765,"POLIAMBULATORI GAVARDO",43,TRUE,1,1
"PO DI CHIARI (UNICO PO CON STAB ORZINUOVI E ROVATO)-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO CHIARI)","ATS DI BRESCIA","ASST DELLA FRANCIACORTA","CHIARI","BS",45.53889,9.93431,2703,"POLIAMBULATORIO CHIARI",44,TRUE,1,1
"MULTIMEDICA-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (MULTIMEDICA S.P.A.)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST NORD MILANO","SESTO SAN GIOVANNI","MI",45.53601892,9.21810774,2969,"MULTIMEDICA S.P.A.",47,TRUE,1,1
"PRESIDIO OSPEDALIERO ""OSPEDALE GENERALE PROVINCIALE"" DI SARONNO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMB. DIVIS.-P.O.SARONNO)","ATS DELL'INSUBRIA","ASST DELLA VALLE OLONA","SARONNO","VA",45.62906496,9.04045887,2982,"POLIAMB. DIVIS.-P.O.SARONNO",48,TRUE,1,1
"ISTITUTO SCIENTIFICO DI RIABILITAZIONE-POLIAMBULATORIO-2-AMBULATORIO PRINCIPALE-1 (ISTITUTO SCIENTIFICO  MAUGERI AMBULATORIO)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST FATEBENEFRATELLI SACCO","MILANO","MI",45.4369599,9.2660015,2893,"ISTITUTO SCIENTIFICO  MAUGERI AMBULATORIO",49,TRUE,1,1
"PRESIDIO DEL VERBANO (OSP CAUSA PIA LUVINI) CITTIGLIO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO OSPEDALE LUINO)","ATS DELL'INSUBRIA","ASST DEI SETTE LAGHI","LUINO","VA",45.9973738,8.7462549,2914,"POLIAMBULATORIO OSPEDALE LUINO",50,TRUE,1,1
"OSPEDALE ASILO VITTORIA - MORTARA-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMB. OSP. MORTARA)","ATS DI PAVIA","ASST DI PAVIA","MORTARA","PV",45.24668,8.7651,3444,"POLIAMB. OSP. MORTARA",51,TRUE,1,1
"CENTRO MEDICO DI PAVIA-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMB. IRCCS MAUGERI)","ATS DI PAVIA","ASST DI PAVIA","PAVIA","PV",45.2035,9.14266,3411,"POLIAMB. IRCCS MAUGERI",52,TRUE,1,1
"PO DI CERNUSCO SUL NAVIGLIO - VAPRIO D'ADDA (STAB DI CERNUSCO)-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (CAUSA PIA OSPITALIERA UBOLDO)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST MELEGNANO E DELLA MARTESANA","CERNUSCO SUL NAVIGLIO","MI",45.5229535,9.3277763,2763,"CAUSA PIA OSPITALIERA UBOLDO",53,TRUE,1,1
"CASA DI CURA SAN PIO X-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (CASA DI CURA S. PIO X)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA","MILANO","MI",45.4951116,9.1895606,3037,"CASA DI CURA S. PIO X",54,TRUE,1,1
"CASA DI CURA PRIVATA ""POLICLINICO DI MONZA"" S.P.A.-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMB. POLICLINICO MONZA)","ATS DELLA BRIANZA","ASST DI MONZA","MONZA","MB",45.58251,9.29445,3186,"POLIAMB. POLICLINICO MONZA",55,TRUE,1,1
"PO DI VIZZOLO PREDABISSI - CASSANO D'ADDA (STAB DI CASSANO)-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (P.O.A.ZAPPATONI CASSANO D'ADDA)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST MELEGNANO E DELLA MARTESANA","CASSANO D'ADDA","MI",45.522965,9.5153655,2761,"P.O.A.ZAPPATONI CASSANO D'ADDA",56,TRUE,1,1
"OSPEDALE DI RHO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMB.OSPEDALE RHO)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST RHODENSE","RHO","MI",45.5332984,9.0325355,2604,"POLIAMB.OSPEDALE RHO",57,TRUE,1,1
"CDI CERNUSCO","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST MELEGNANO E DELLA MARTESANA","CERNUSCO SUL NAVIGLIO","MI",45.5138767,9.3378186,712,"CDI CERNUSCO",61,TRUE,1,1
"OSPEDALE DI VALLE CAMONICA - STABILIMENTO DI EDOLO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORI OSP. DI EDOLO)","ATS DELLA MONTAGNA","ASST DELLA VALCAMONICA","EDOLO","BS",46.17849,10.33115,3275,"POLIAMBULATORI OSP. DI EDOLO",62,TRUE,1,1
"OSPEDALE CIVILE DI VOGHERA-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMB. OSP. VOGHERA)","ATS DI PAVIA","ASST DI PAVIA","VOGHERA","PV",44.99481,9.01449,3436,"POLIAMB. OSP. VOGHERA",65,TRUE,1,1
"OSPEDALE ""CADUTI BOLLATESI""-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMB.OSPEDALE BOLLATE)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST RHODENSE","BOLLATE","MI",45.54073131,9.11722333,2602,"POLIAMB.OSPEDALE BOLLATE",66,TRUE,1,1
"PRESIDIO OSPEDALIERO VITTORE BUZZI-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (OSPEDALE VITTORE BUZZI)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST FATEBENEFRATELLI SACCO","MILANO","MI",45.4852051,9.1652523,3628,"OSPEDALE VITTORE BUZZI",69,TRUE,1,1
"PRESIDIO OSPEDALIERO ""DELMATI"" - S. ANGELO LODIGIANO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (OSP. DELMATI AMBUL. DIAGN.)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST DI LODI","SANT'ANGELO LODIGIANO","LO",45.22852,9.41707,2837,"OSP. DELMATI AMBUL. DIAGN.",72,TRUE,1,1
"PRESIDIO OSPEDALIERO ""M.O.A. LOCATELLI"" - PIARIO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMB. M.O.A. LOCATELLI)","ATS DI BERGAMO","ASST DI BERGAMO EST","PIARIO","BG",45.88469,9.91527999,3649,"POLIAMB. M.O.A. LOCATELLI",73,TRUE,1,1
"OSPEDALE DI DESENZANO DEL GARDA (UNICO PO CON STAB LONATO)-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (AMBULATORIO DI DESENZANO D/G)","ATS DI BRESCIA","ASST DEL GARDA","DESENZANO DEL GARDA","BS",45.470119,10.522257,2771,"AMBULATORIO DI DESENZANO D/G",77,TRUE,1,1
"P.O. ""TRABATTONI RONZONI"" DI SEREGNO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (OSPED. TRABATTONI RONZONI)","ATS DELLA BRIANZA","ASST DELLA BRIANZA","SEREGNO","MB",45.65374,9.20494,3503,"OSPED. TRABATTONI RONZONI",78,TRUE,1,1
"AMBULATORI P.O. PASSIRANA","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST RHODENSE","RHO","MI",45.54620397,9.04720576,90,"AMBULATORI P.O. PASSIRANA",79,TRUE,1,1
"OSPEDALE S. GERARDO DI MONZA-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO OSPEDALE SAN GERARDO)","ATS DELLA BRIANZA","ASST DI MONZA","MONZA","MB",45.60047,9.25998,3423,"POLIAMBULATORIO OSPEDALE SAN GERARDO",80,TRUE,1,1
"CENTRO DIAGNOSTICO GALLARATESE","ATS DELL'INSUBRIA","ASST DELLA VALLE OLONA","GALLARATE","VA",45.65785,8.78584,788,"CENTRO DIAGNOSTICO GALLARATESE",81,TRUE,1,1
"CENTRO CLINICO NEMO - FONDAZIONE SERENA-RIABILITAZIONE SPECIALISTICA-1-AMBULATORIO PRINCIPALE-1 (CENTRO CLINICO NEMO AMBULATORIO)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA","MILANO","MI",45.5092318,9.1886947,2890,"CENTRO CLINICO NEMO AMBULATORIO",82,TRUE,1,1
"STRUTTURA SANITARIA DI TIRANO","ATS DELLA MONTAGNA","ASST DELLA VALTELLINA E DELL'ALTO LARIO","TIRANO","SO",46.2177134,10.1683316,953,"STRUTTURA SANITARIA DI TIRANO",83,TRUE,1,1
"OSPEDALE ""SANTISSIMA TRINITÀ""-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO OSP. ROMANO L.)","ATS DI BERGAMO","ASST DI BERGAMO OVEST","ROMANO DI LOMBARDIA","BG",45.51939,9.7517,3643,"POLIAMBULATORIO OSP. ROMANO L.",86,TRUE,1,1
"OSPEDALE CIVILE VIGEVANO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMB. OSP. VIGEVANO)","ATS DI PAVIA","ASST DI PAVIA","VIGEVANO","PV",45.32136994,8.86499315,3451,"POLIAMB. OSP. VIGEVANO",87,TRUE,1,1
"OSPEDALE SACRA FAMIGLIA FATEBENEFRATELLI - ERBA-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (OSPED. F.B.F. SACRA FAMIGLIA)","ATS DELL'INSUBRIA","ASST LARIANA","ERBA","CO",45.8167492,9.2256732,3119,"OSPED. F.B.F. SACRA FAMIGLIA",88,TRUE,1,1
"OSPEDALE - SOMMA LOMBARDO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (OSPEDALIERO A. BELLINI)","ATS DELL'INSUBRIA","ASST DELLA VALLE OLONA","SOMMA LOMBARDO","VA",45.6837755,8.7136894,3049,"OSPEDALIERO A. BELLINI",91,TRUE,1,1
"OSPEDALE VALDUCE-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (PRESIDIO DI RIAB.VILLA BERETTA)","ATS DELLA BRIANZA","ASST DI LECCO","COSTA MASNAGA","LC",45.770931,9.27027696,8167,"PRESIDIO DI RIAB.VILLA BERETTA",92,TRUE,1,1
"IRCCS OSPEDALE CAPITANIO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO IRCCS OSPEDALE CAPITANIO)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST FATEBENEFRATELLI SACCO","MILANO","MI",45.45532,9.19052,3039,"POLIAMBULATORIO IRCCS OSPEDALE CAPITANIO",94,TRUE,1,1
"PRESIDIO OSPEDALIERO  ""BRIOLINI"" - GAZZANIGA-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO OSP.BRIOLINI)","ATS DI BERGAMO","ASST DI BERGAMO EST","GAZZANIGA","BG",45.7967472,9.8346835,2532,"POLIAMBULATORIO OSP.BRIOLINI",95,TRUE,1,1
"OSPEDALE VALDUCE-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMB.OSP.GEN.ZONA VALDUCE)","ATS DELL'INSUBRIA","ASST LARIANA","COMO","CO",45.81026,9.08794,3060,"POLIAMB.OSP.GEN.ZONA VALDUCE",96,TRUE,1,1
